,UBATUBA - PICINGUABA,UBATUBA - PRUMIRIM,UBATUBA - FÉLIX,UBATUBA - ITAMAMBUCA,UBATUBA - RIO ITAMAMBUCA,UBATUBA - VERMELHA DO NORTE,UBATUBA - PEREQUÊ-AÇU,UBATUBA - IPEROIG,UBATUBA - ITAGUÁ EM FRENTE AO N° 240 DA AV. LEOVEGILDO D. VIEIRA,UBATUBA - ITAGUA EM FRENTE AO N° 1 724 DA AV. LEOVEGILDO D. VIEIRA,UBATUBA - VERMELHA,UBATUBA - TENÓRIO,UBATUBA - GRANDE,UBATUBA - TONINHAS,UBATUBA - ENSEADA,UBATUBA - SANTA RITA,UBATUBA - PEREQUÊ-MIRIM,UBATUBA - SUNUNGA,UBATUBA - LÁZARO,UBATUBA - DOMINGAS DIAS,UBATUBA - DURA,UBATUBA - LAGOINHA EM FRENTE A AV. ENGENHO VELHO,UBATUBA - LAGOINHA AO LADO DO CAMPING,UBATUBA - SAPE,UBATUBA - MARANDUBA,UBATUBA - PULSO
UBATUBA - PICINGUABA,0,,,,,,,,,,,,,,,,,,,,,,,,,
UBATUBA - PRUMIRIM,,0,2100,,,,,,,,,,,,,,,,,,,,,,,
UBATUBA - FÉLIX,,2100,0,4100,,,,,,,,,,,,,,,,,,,,,,
UBATUBA - ITAMAMBUCA,,,4100,0,800,,,,,,,,,,,,,,,,,,,,,
UBATUBA - RIO ITAMAMBUCA,,,,800,0,3800,,,,,,,,,,,,,,,,,,,,
UBATUBA - VERMELHA DO NORTE,,,,,3800,0,3100,,,,,,,,,,,,,,,,,,,
UBATUBA - PEREQUÊ-AÇU,,,,,,3100,0,1500,,,,,,,,,,,,,,,,,,
UBATUBA - IPEROIG,,,,,,,1500,0,1900,,,,,,,,,,,,,,,,,
UBATUBA - ITAGUÁ EM FRENTE AO N° 240 DA AV. LEOVEGILDO D. VIEIRA,,,,,,,,1900,0,1400,,,,,,,,,,,,,,,,
UBATUBA - ITAGUA EM FRENTE AO N° 1 724 DA AV. LEOVEGILDO D. VIEIRA,,,,,,,,,1400,0,,,,,,,,,,,,,,,,
UBATUBA - TENÓRIO,,,,,,,,,,,0,700,,,,,,,,,,,,,,
UBATUBA - VERMELHA,,,,,,,,,,,700,0,1700,,,,,,,,,,,,,
UBATUBA - GRANDE,,,,,,,,,,,,1700,0,2000,,,,,,,,,,,,
UBATUBA - TONINHAS,,,,,,,,,,,,,2000,0,,,,,,,,,,,,
UBATUBA - ENSEADA,,,,,,,,,,,,,,,0,1500,,,,,,,,,,
UBATUBA - SANTA RITA,,,,,,,,,,,,,,,1500,0,600,,,,,,,,,
UBATUBA - PEREQUÊ-MIRIM,,,,,,,,,,,,,,,,600,0,,,,,,,,,
UBATUBA - SUNUNGA,,,,,,,,,,,,,,,,,,0,600,,,,,,,
UBATUBA - LÁZARO,,,,,,,,,,,,,,,,,,600,0,1400,,,,,,
UBATUBA - DOMINGAS DIAS,,,,,,,,,,,,,,,,,,,1400,0,,,,,,
UBATUBA - DURA,,,,,,,,,,,,,,,,,,,,,0,,,,,
UBATUBA - LAGOINHA EM FRENTE A AV. ENGENHO VELHO,,,,,,,,,,,,,,,,,,,,,,0,2000,,,
UBATUBA - LAGOINHA AO LADO DO CAMPING,,,,,,,,,,,,,,,,,,,,,,2000,0,900,,
UBATUBA - SAPE,,,,,,,,,,,,,,,,,,,,,,,900,0,,
UBATUBA - MARANDUBA,,,,,,,,,,,,,,,,,,,,,,,,,0,
UBATUBA - PULSO,,,,,,,,,,,,,,,,,,,,,,,,,,0